序号,楼盘名称,物业类型,销售状态,位置,房型,面积,标签,单价,总价
164,御城水都,住宅,在售,惠阳/淡水/惠州市惠阳区淡水街道云新大道9号,3室,建面 80-90㎡,小户型绿化率高,100万/套(均价),总价107万/套起
165,卓洲悦园,住宅,在售,惠阳/南站新城/大亚湾西区上杨,2室,建面 95-108㎡,绿化率高,13500元/平(均价),总价130万/套起
166,碧桂园湖光山色,商业类,在售,惠阳/惠阳区/惠阳人民一路（金玉东方珠宝城旁）,,,绿化率高,13500元/平(均价),暂无
167,卓越蔚蓝松湖,住宅,在售,东坑镇/东坑镇/横东路,3室/4室,建面 94-112㎡,,12500元/平(均价),总价120万/套起
168,碧桂园十里银滩维港湾,住宅,在售,惠东/惠东县/亚婆角滨海旅游度假区,3室/4室,建面 89-132㎡,绿化率高,13000元/平(均价),暂无
169,松湖时光里,商业类,在售,东坑镇/东坑镇/沿河西二路78号,4室,建面 54㎡,小户型带花园,13000元/平(均价),总价70万/套起
170,家悦龙庭,住宅,在售,大亚湾/大亚湾西区/龙海二路35号,2室/3室/4室,建面 77-110㎡,小户型,12500元/平(均价),总价104万/套起
171,月堤湾畔,住宅,在售,惠阳/南站新城/老围路5号,2室/3室,建面 83-111㎡,绿化率高,12500元/平(均价),总价105万/套起
172,远望一号花园,住宅,在售,博罗/博罗县/飞龙大道888号,3室/4室,建面 112-148㎡,绿化率高,7500元/平(均价),总价84万/套起
173,中洲半岛城邦,住宅,在售,博罗/博罗县/惠博大道中洲半岛城邦,3室,建面 106-125㎡,绿化率高,8800元/平(均价),总价100万/套起
174,天琴湾花园,住宅,在售,沙田镇/沙田镇/环岛路天琴湾花园,3室/4室,建面 89-127㎡,绿化率高,19000元/平(均价),总价160万/套起
175,小时界,住宅,在售,大亚湾/大亚湾西区/龙海一路106号,3室/4室,建面 86-113㎡,绿化率高,13300元/平(均价),总价114万/套起
176,碧桂园太东·蜜柚,住宅,在售,大亚湾/大亚湾西区/石富路碧桂园太东·蜜柚,,,,13300元/平(均价),暂无
177,琥珀公馆,商业类,在售,虎门镇/虎门公园/东莞市虎门镇连升北路660号,2室,建面 34-49㎡,小户型,25000元/平(均价),总价85万/套起
178,正中峰璟湾,住宅,在售,长安镇/宵边/德政中路与107国道交汇处,2室/3室,建面 57-84㎡,小户型绿化率高,29000元/平(均价),总价165万/套起
179,正中峰璟湾,商业类,在售,长安镇/宵边/德政东路正中峰璟湾,2室/3室,建面 35-48㎡,小户型绿化率高,26000元/平(均价),总价91万/套起
180,松湖溪岸,住宅,在售,东坑镇/东坑镇/东坑大道北233号,3室/4室,建面 89-118㎡,绿化率高,15500元/平(均价),总价138万/套起
181,仁和美地家园,住宅,在售,大亚湾/大亚湾西区/石化大道中516号,2室/3室/4室,建面 89-117㎡,绿化率高,12600元/平(均价),总价112.14万/套起
182,花样年·花好园,住宅,在售,惠阳/南站新城/淡水东华大埔星河东路,3室,建面 89㎡,绿化率高,12600元/平(均价),总价112万/套起
183,花样年家天下,住宅,在售,惠阳/惠阳区/顺居路花样年家天下,2室/3室,建面 125-154㎡,绿化率高,14500元/平(均价),总价181万/套起
184,花样年家天下,别墅,在售,惠阳/惠阳区/顺居路花样年家天下,5室,建面 149-193㎡,绿化率高,19000元/平(均价),总价283万/套起
185,光大锦堂阁,住宅,在售,中堂镇/中堂镇/莞穗路中堂段42号,3室/4室,建面 79-109㎡,小户型绿化率高,17000元/平(均价),总价134万/套起
186,国韵华府,住宅,在售,大亚湾/大亚湾西区/科技中路2号,1室/3室,建面 44-89㎡,小户型绿化率高,12500元/平(均价),总价56万/套起
187,新华联广场,住宅,在售,大亚湾/大亚湾中心区/大亚湾中心区北片石化大道348号,,,绿化率高,12500元/平(均价),暂无
188,万汇中心,商业类,在售,樟木头镇/樟木头镇/樟木头莞樟西路62号,3室/4室,建面 92-131㎡,绿化率高,13500元/平(均价),总价124万/套起
189,万汇中心,写字楼,在售,樟木头镇/樟木头镇/樟木头莞樟西路62号,1室,建面 82㎡,绿化率高,12500元/平(均价),总价102万/套起
190,万汇中心,底商,在售,樟木头镇/樟木头镇/樟木头莞樟西路62号,1室,建面 36㎡,小户型绿化率高,15800元/平(均价),总价186万/套起
191,东旭山水江南,商业类,在售,桥头镇/桥头镇/桥头镇桥新东二路6号,1室/2室/3室/4室/5室,建面 43-112㎡,小户型绿化率高,13000元/平(均价),总价59万/套起
192,富盈香茶郡,住宅,在售,茶山镇/茶山镇/茶山镇安泰路与沿溪路交汇处西南,3室/4室/5室,建面 96-180㎡,绿化率高,17000元/平(均价),总价165万/套起
193,泰丰牧马湖,住宅,在售,大亚湾/大亚湾西区/大亚湾大道与龙海二路交汇处,3室/4室,建面 82-120㎡,绿化率高车位充足复式,13500元/平(均价),总价120万/套起
194,当代MOMA,住宅,在售,大亚湾/大亚湾区/大亚湾安惠大道11号,1室,建面 28-50㎡,小户型绿化率高低密度,12000元/平(均价),总价36万/套起
195,金地仟百汇,底商,在售,塘厦镇/塘厦镇/东莞市塘厦镇宏业北路1号,,,现房,38000元/平(均价),暂无
196,畔山悦海花园,住宅,在售,大亚湾/大亚湾区/惠深沿海高速畔山悦海花园,,,绿化率高低密度,12500元/平(均价),暂无
197,恒大悦龙台,住宅,在售,大亚湾/大亚湾西区/大亚湾西区龙海二路47号,3室/4室,建面 95-130㎡,绿化率高低密度,13500元/平(均价),总价128万/套起
198,东能银滩,住宅,在售,大亚湾/大亚湾中心区/广东省惠州市惠阳区霞涌镇霞光西路3号,1室,建面 44-81㎡,小户型绿化率高车位充足,17000元/平(均价),总价68万/套起
199,保利24季,住宅,在售,大鹏新区/大鹏半岛/大鹏办事处鹏飞路与爱康路交汇处南侧,3室/4室,建面 85-106㎡,绿化率高低密度,27000元/平(均价),总价230万/套起
200,牧云溪谷,别墅,在售,惠阳/惠阳区/龙岗大道与长山路交汇处,5室/6室,建面 238-265㎡,现房绿化率高车位充足复式,800万/套(均价),总价900万/套起
201,博丰大厦,写字楼,在售,罗湖区/清水河/清水河一路与三路交汇处,,,品牌房企现房低密度,42000元/平(均价),暂无
202,木棉湾商业街,底商,在售,龙岗区/布吉街/布吉街政清路6号,,,现房绿化率高,100000元/平(均价),暂无
203,中海云麓公馆,住宅,在售,凤岗镇/凤岗镇/光辉大道与城邦大道交叉口西南150米,3室/4室,建面 85-125㎡,,38000元/平(均价),总价290万/套起
204,易尚中心,写字楼,在售,宝安区/宝安中心/甲岸南路与金科路交汇处,,,绿化率高,80000元/平(均价),暂无
205,后海•星光道,商业,在售,南山区/后海/兴南路南海时光道,1室,建面 75-247㎡,小户型现房绿化率高低密度,98880元/平(均价),总价737万/套起
206,金地风华,住宅,在售,万江区/石美/新城一路与新城中路交叉口东南100米,3室/4室,建面 85-119㎡,绿化率高,25000元/平(均价),总价200万/套起
207,嘉宏锦峯,住宅,在售,石龙镇/石龙镇/温泉中路53号,3室,建面 97-104㎡,近地铁绿化率高,17000元/平(均价),总价164万/套起
208,奥园峯荟,底商,在售,光明区/公明/公明街道南环大道与振兴路交汇处,,,现房绿化率高,60000元/平(均价),暂无
209,前海金融中心,写字楼,在售,南山区/前海/深圳前海临海大道与桂湾三路交汇处,,,绿化率高低密度车位充足,95000元/平(均价),暂无
210,德弘基·碧桂园·前海荟,住宅,在售,宝安区/西乡/宝安大道与新安六路交汇西南处,2室/3室,建面 71-119㎡,小户型绿化率高,72000元/平(均价),总价530万/套起
211,生源2018,住宅,在售,大亚湾/大亚湾西区/大亚湾永达路10号,2室/3室,建面 79-102㎡,小户型绿化率高车位充足低密度,12500元/平(均价),总价100万/套起
212,远洋新天地二期,底商,在售,龙岗区/龙岗中心城/龙岗中心城盛龙路与碧新路交汇处,,,现房绿化率高,60000元/平(均价),暂无
213,前海嘉里中心,商业类,在售,南山区/前海/南山前湾一路与临海大道交汇处,,,,94000元/平(均价),暂无
214,东海国际公寓,商业类,在售,福田区/香蜜湖/深南大道7888号,4室,建面 140㎡,现房车位充足复式近地铁,130000元/平(均价),总价1830万/套起
215,万科星城,住宅,在售,宝安区/沙井/上星路万科星城,,,品牌房企绿化率高车位充足,43918元/平(均价),暂无
216,恒裕嘉城,底商,在售,龙岗区/坪地/赤石岗697号,0室,建面 100㎡,现房绿化率高车位充足,80000元/平(均价),总价800万/套起
217,碧桂园星荟,底商,在售,光明区/公明/南环大道旁,,,现房绿化率高车位充足复式,40000元/平(均价),暂无
218,华丰前海湾,住宅,在售,宝安区/碧海/碧海兴业路与共乐路交汇处西南侧,4室,建面 177㎡,品牌房企现房绿化率高车位充足,79000元/平(均价),总价650万/套起
219,浅水湾,住宅,在售,大亚湾/大亚湾中心区/大亚湾霞涌旅游度假区石化大道东段与东环路交接口（泡泡海旁）,1室/2室/3室,建面 44-87㎡,品牌房企小户型绿化率高车位充足,12500元/平(均价),总价63万/套起
220,龙光城,住宅,在售,大亚湾/大亚湾区/惠州大亚湾西区西南大道88号,2室/4室,建面 97-120㎡,品牌房企绿化率高车位充足中式地产,16500元/平(均价),总价145万/套起
221,鸿荣源·壹方中心|玖誉,住宅,在售,宝安区/宝安中心/前海·新湖路与创业一路交汇处,5室,建面 488㎡,现房绿化率高车位充足近地铁,126000元/平(均价),总价5376万/套起
222,三远大爱城,住宅,在售,大亚湾/大亚湾西区/龙海二路3号,1室/2室/3室,建面 75-170㎡,品牌房企小户型现房绿化率高车位充足花园洋房,13500元/平(均价),总价105万/套起
223,华强城,住宅,在售,宝安区/福永/福永街道凤塘大道与宝安大道交汇处,5室,建面 160㎡,品牌房企绿化率高车位充足近地铁,46300元/平(均价),总价735万/套起
224,卓越星源,住宅,在售,龙岗区/平湖/深圳平湖富安大道科园西路中环大道与阳光路交汇处,3室/4室,建面 89-182㎡,绿化率高车位充足,41000元/平(均价),总价576万/套起
225,中熙香莎公馆,住宅,在售,宝安区/沙井/宝安沙井中心沙中路与西茭塘路交汇处（麒麟山景大酒店东侧）,1室/4室,建面 93-132㎡,现房绿化率高车位充足山水景观新兴片区,47000元/平(均价),总价580万/套起
226,名居广场,住宅,在售,龙岗区/龙岗中心城/龙岗大道与如意路交汇处东北侧,,,现房绿化率高车位充足近地铁地铁周边,46000元/平(均价),暂无
227,华润前海中心·悦玺,住宅,在售,南山区/前海/前海深港现代服务业合作区内桂湾片区（鲤鱼门地铁站旁），北至桂湾四路，东至梦海大道，西至听海大道,1室/2室/3室/4室,建面 122-338㎡,品牌房企绿化率高车位充足,93000元/平(均价),总价1134.6万/套起
228,倚龙华庭,住宅,在售,龙岗区/布吉大芬/大芬村桔子坑,3室,建面 73-122㎡,品牌房企小户型现房绿化率高近地铁,580万/套(均价),总价550万/套起
229,花样年家天下,住宅,在售,大鹏新区/大鹏半岛/葵坪路与金葵西路交汇处西南100米,3室/4室,建面 93-124㎡,品牌房企绿化率高车位充足近地铁山水景观,40000元/平(均价),总价372万/套起
230,东都中央王座,住宅,在售,龙岗区/龙岗中心城/龙翔大道与怡翠路交汇处（公园大地正对面）,4室,建面 122㎡,现房绿化率高,48000元/平(均价),总价585万/套起
231,康达尔山海上城二期,住宅,在售,宝安区/西乡/宝安大道4568号,2室/3室,建面 82-175㎡,品牌房企绿化率高,58000元/平(均价),总价475万/套起
232,天汇城,住宅,在售,光明区/公明/松白路与长春路交汇处。,2室,建面 79㎡,小户型现房绿化率高近地铁,44500元/平(均价),总价316万/套起
233,檀悦都喜天丽度假酒店,商业类,在售,惠东/惠东县/港口滨海旅游度假村东山海地段,1室,建面 52-67㎡,小户型现房绿化率高低密度,24000元/平(均价),总价104万/套起
234,碧桂园太东公园上城,住宅,在售,大亚湾/大亚湾西区/惠州大亚湾西区中兴北路219号,3室/4室,建面 110-128㎡,现房绿化率高车位充足,13800元/平(均价),总价150万/套起
235,创富豪庭,住宅,在售,大亚湾/大亚湾区/西区荷茶地段,1室/2室/3室,建面 48-97㎡,小户型现房车位充足综合体,15000元/平(均价),总价72万/套起
236,金洋花海(洗马湖路),住宅,在售,大亚湾/大亚湾区/澳头镇新奥大道15号,4室,建面 103-139㎡,车位充足,12500元/平(均价),总价134万/套起
237,天琴湾,别墅,在售,盐田区/梅沙/盐梅路50号,5室,建面 280㎡,品牌房企现房绿化率高车位充足低密度花园洋房复式,5500万/套(均价),总价5600万/套起
238,星城翠珑湾四期,住宅,在售,寮步镇/寮步/东莞市松山湖北部工业城五路五号,3室/4室,建面 114-139㎡,现房绿化率高车位充足花园洋房,31000元/平(均价),总价393万/套起
239,奥园峯荟,商业类,在售,光明区/公明/公明街道南环大道与振兴路交汇处,1室,建面 33-50㎡,小户型现房绿化率高,24000元/平(均价),总价80万/套起
240,宏发世纪城二期,住宅,在售,宝安区/石岩/宝石东路与羊台山路交汇处（机荷高速溪之谷出口）,5室,建面 145-200㎡,现房绿化率高车位充足花园洋房,49000元/平(均价),总价980万/套起
241,翔龙天地,住宅,在售,常平镇/常平镇/东莞常平大道与新城大道交汇处,2室/3室,建面 99-141㎡,现房绿化率高车位充足,20500元/平(均价),总价193万/套起
242,中信红树山,住宅,在售,黄江镇/黄江镇/东莞市黄江北岸黄江莞深高速公明黄江出口,2室/3室,建面 84-101㎡,现房绿化率高,24000元/平(均价),总价187万/套起
243,班芙春天,住宅,在售,黄江镇/黄江镇/黄江镇常梅公路西侧,3室/4室,建面 106-139㎡,现房绿化率高花园洋房,24000元/平(均价),总价245万/套起
244,金地湖山大境,住宅,在售,黄江镇/黄江镇/东莞市黄江北岸黄江莞深高速公明黄江出口,2室/3室,建面 106-139㎡,现房绿化率高车位充足低密度,25000元/平(均价),总价254万/套起
245,新锦安壹号公馆,住宅,在售,宝安区/宝安中心/新安街道,5室/6室,建面 300-350㎡,品牌房企现房绿化率高车位充足,110000元/平(均价),总价2850万/套起
246,英郡年华三期时光里,住宅,在售,龙岗区/丹竹头/南湾街道,3室,建面 87-113㎡,品牌房企现房绿化率高车位充足近地铁,43000元/平(均价),总价475万/套起
247,风度盛荟,商业类,在售,黄江镇/黄江镇/黄江旧黄江医院对面，富海大道与沿江路交汇处,1室,建面 30㎡,品牌房企小户型现房绿化率高车位充足花园洋房,15000元/平(均价),总价48万/套起
248,金地湖山大境,别墅,在售,黄江镇/黄江镇/东莞市黄江北岸黄江莞深高速公明黄江出口,6室,建面 520㎡,现房绿化率高车位充足低密度,900万/套(均价),总价1600万/套起
249,富驰大厦,商业类,在售,龙华区/龙华中心/龙华街道东环二路旁,1室/3室,建面 40-86㎡,小户型绿化率高,40000元/平(均价),总价160万/套起
